Overhead 10:
       webapp w/Templator: | 250 total, 0 failed |  10.805s overall, 0.043s each | score:   1.301 |
         WSGI w/Templator: | 250 total, 0 failed |  10.868s overall, 0.043s each | score:   1.308 |
          webapp w/Tenjin: | 250 total, 0 failed |  10.920s overall, 0.044s each | score:   1.314 |
           web.py w/Breve: | 250 total, 0 failed |  10.935s overall, 0.044s each | score:   1.316 |
             WSGI w/Breve: | 250 total, 0 failed |  10.983s overall, 0.044s each | score:   1.322 |
           webapp w/Jinja: | 250 total, 0 failed |  11.059s overall, 0.044s each | score:   1.331 |
      webapp2 w/Templator: | 250 total, 0 failed |  11.261s overall, 0.045s each | score:   1.355 |
   flask w/SimpleTemplate: | 250 total, 0 failed |  11.270s overall, 0.045s each | score:   1.356 |
           webop w/Tenjin: | 250 total, 0 failed |  11.378s overall, 0.046s each | score:   1.370 |
            webop w/Jinja: | 250 total, 0 failed |  11.411s overall, 0.046s each | score:   1.373 |
             WSGI w/Jinja: | 250 total, 0 failed |  11.628s overall, 0.047s each | score:   1.400 |
             tipfy w/Mako: | 250 total, 0 failed |  11.769s overall, 0.047s each | score:   1.417 |
          bottle w/Django: | 250 total, 0 failed |  11.954s overall, 0.048s each | score:   1.439 |
            flask w/Breve: | 250 total, 0 failed |  12.460s overall, 0.050s each | score:   1.500 |
           bottle w/Breve: | 250 total, 0 failed |  12.783s overall, 0.051s each | score:   1.539 |
          webapp2 w/Breve: | 250 total, 0 failed |  13.001s overall, 0.052s each | score:   1.565 |
            WSGI w/Django: | 250 total, 0 failed |  17.549s overall, 0.070s each | score:   2.112 |


Overhead 1000:
            tipfy w/Jinja: | 250 total, 0 failed |   9.448s overall, 0.038s each | score:   1.000 |
           webapp w/Jinja: | 250 total, 0 failed |   9.766s overall, 0.039s each | score:   1.034 |
          webapp2 w/Jinja: | 250 total, 0 failed |   9.843s overall, 0.039s each | score:   1.042 |
           bottle w/Jinja: | 250 total, 0 failed |   9.876s overall, 0.040s each | score:   1.045 |
            webapp w/Mako: | 250 total, 0 failed |   9.877s overall, 0.040s each | score:   1.045 |
             webop w/Mako: | 250 total, 0 failed |   9.905s overall, 0.040s each | score:   1.048 |
            web.py w/Mako: | 250 total, 0 failed |   9.974s overall, 0.040s each | score:   1.056 |
           webapp2 w/Mako: | 250 total, 0 failed |  10.004s overall, 0.040s each | score:   1.059 |
            webop w/Jinja: | 250 total, 0 failed |  10.012s overall, 0.040s each | score:   1.060 |
            bottle w/Mako: | 250 total, 0 failed |  10.042s overall, 0.040s each | score:   1.063 |
             tipfy w/Mako: | 250 total, 0 failed |  10.096s overall, 0.040s each | score:   1.069 |
           web.py w/Jinja: | 250 total, 0 failed |  10.161s overall, 0.041s each | score:   1.076 |
        webop w/Templator: | 250 total, 0 failed |  10.184s overall, 0.041s each | score:   1.078 |
             flask w/Mako: | 250 total, 0 failed |  10.295s overall, 0.041s each | score:   1.090 |
       web.py w/Templator: | 250 total, 0 failed |  10.300s overall, 0.041s each | score:   1.090 |
        flask w/Templator: | 250 total, 0 failed |  10.301s overall, 0.041s each | score:   1.090 |
      webapp2 w/Templator: | 250 total, 0 failed |  10.341s overall, 0.041s each | score:   1.095 |
       bottle w/Templator: | 250 total, 0 failed |  10.396s overall, 0.042s each | score:   1.100 |
           webop w/Tenjin: | 250 total, 0 failed |  10.609s overall, 0.042s each | score:   1.123 |
         webapp2 w/Tenjin: | 250 total, 0 failed |  10.619s overall, 0.042s each | score:   1.124 |
           flask w/Tenjin: | 250 total, 0 failed |  10.637s overall, 0.043s each | score:   1.126 |
        tipfy w/Templator: | 250 total, 0 failed |  10.642s overall, 0.043s each | score:   1.126 |
          bottle w/Tenjin: | 250 total, 0 failed |  10.660s overall, 0.043s each | score:   1.128 |
       webapp w/Templator: | 250 total, 0 failed |  10.750s overall, 0.043s each | score:   1.138 |
           tipfy w/Tenjin: | 250 total, 0 failed |  10.756s overall, 0.043s each | score:   1.138 |
          web.py w/Tenjin: | 250 total, 0 failed |  10.785s overall, 0.043s each | score:   1.142 |
          webapp w/Tenjin: | 250 total, 0 failed |  10.869s overall, 0.043s each | score:   1.150 |
      webop w/TenjinCache: | 250 total, 0 failed |  11.034s overall, 0.044s each | score:   1.168 |
            flask w/Jinja: | 250 total, 0 failed |  13.772s overall, 0.055s each | score:   1.458 |
   flask w/SimpleTemplate: | 250 total, 0 failed |  14.147s overall, 0.057s each | score:   1.497 |
  webapp w/SimpleTemplate: | 250 total, 0 failed |  14.208s overall, 0.057s each | score:   1.504 |
  web.py w/SimpleTemplate: | 250 total, 0 failed |  14.232s overall, 0.057s each | score:   1.506 |
  bottle w/SimpleTemplate: | 250 total, 0 failed |  14.232s overall, 0.057s each | score:   1.506 |
   webop w/SimpleTemplate: | 250 total, 0 failed |  14.298s overall, 0.057s each | score:   1.513 |
 webapp2 w/SimpleTemplate: | 250 total, 0 failed |  14.316s overall, 0.057s each | score:   1.515 |
   tipfy w/SimpleTemplate: | 250 total, 0 failed |  14.409s overall, 0.058s each | score:   1.525 |
              WSGI w/Mako: | 250 total, 0 failed |  15.092s overall, 0.060s each | score:   1.597 |
         WSGI w/Templator: | 250 total, 0 failed |  15.229s overall, 0.061s each | score:   1.612 |
            WSGI w/Tenjin: | 250 total, 0 failed |  15.581s overall, 0.062s each | score:   1.649 |
             WSGI w/Jinja: | 250 total, 0 failed |  16.018s overall, 0.064s each | score:   1.695 |
          webapp w/Django: | 250 total, 0 failed |  17.805s overall, 0.071s each | score:   1.885 |
         webapp2 w/Django: | 250 total, 0 failed |  17.836s overall, 0.071s each | score:   1.888 |
           tipfy w/Django: | 250 total, 0 failed |  17.853s overall, 0.071s each | score:   1.890 |
           webop w/Django: | 250 total, 0 failed |  17.927s overall, 0.072s each | score:   1.898 |
          bottle w/Django: | 250 total, 0 failed |  17.989s overall, 0.072s each | score:   1.904 |
           flask w/Django: | 250 total, 0 failed |  19.377s overall, 0.078s each | score:   2.051 |
    WSGI w/SimpleTemplate: | 250 total, 0 failed |  19.472s overall, 0.078s each | score:   2.061 |
          web.py w/Django: | 250 total, 0 failed |  19.530s overall, 0.078s each | score:   2.067 |
            WSGI w/Django: | 250 total, 0 failed |  23.826s overall, 0.095s each | score:   2.522 |
          webapp2 w/Breve: | 250 total, 0 failed |  31.924s overall, 0.128s each | score:   3.379 |
           bottle w/Breve: | 250 total, 0 failed |  33.048s overall, 0.132s each | score:   3.498 |
           webapp w/Breve: | 250 total, 0 failed |  33.063s overall, 0.132s each | score:   3.500 |
           web.py w/Breve: | 250 total, 0 failed |  33.123s overall, 0.132s each | score:   3.506 |
            tipfy w/Breve: | 250 total, 0 failed |  33.138s overall, 0.133s each | score:   3.508 |
            flask w/Breve: | 250 total, 0 failed |  33.375s overall, 0.133s each | score:   3.533 |
